1,31,17,21.5,29,540,5.3,67.8,36.4,15.1
2,31,17,21.5,29,120,5.5,57.3,35.4,15.1
3,30.8,17,21.5,29,60,5.8,49,35,15.6
4,30.6,17,21.4,29,120,6.1,43.4,34.7,16.4
5,30.4,17,21.4,29,300,6.1,63.3,37.7,16.6
6,30.6,17,21.4,29,600,5.8,69.4,38.4,15.9
7,30.9,17,21.4,29,600,5.3,70.3,37.9,15.3
8,31,17,21.5,29,300,5.4,61.6,35.6,15
9,30.9,17,21.5,29,60,5.7,52.1,35.3,15.3
10,30.7,17,21.4,29,120,6,45.5,34.8,16.1
11,30.4,17,21.4,29,120,6.2,50.8,35.7,16.8
12,30.5,17,21.4,29,540,5.9,68.1,38.5,16.2
13,30.8,17,21.4,29,600,5.5,70.1,38.4,15.5
14,31,17,21.5,29,480,5.3,66.6,36.1,15
15,31,17,21.5,29,120,5.6,56.1,35.4,15.1
16,30.8,17,21.4,29,120,5.8,48.1,35.1,15.8
17,30.5,17,21.4,29,60,6.1,42.9,34.7,16.6
18,30.4,17,21.4,29,360,6.1,64.7,37.9,16.5
19,30.6,17,21.4,29,660,5.7,69.6,38.4,15.8
20,30.9,17,21.5,29,600,5.3,69.8,37.5,15.3
21,31,17,21.5,29,180,5.4,60.4,35.6,15
22,30.8,16,21.5,29,120,5.8,51.2,35.3,15.4
23,30.6,17,21.4,29,60,6,44.9,34.8,16.2
24,30.4,17,21.4,29,120,6.2,55.3,36.4,16.7
25,30.5,17,21.4,29,660,5.9,68.5,38.5,16.1
26,30.8,17,21.4,29,600,5.4,70.1,38.3,15.4
27,31,17,21.4,29,420,5.3,65.2,35.8,14.9
28,30.9,16,21.4,29,120,5.6,54.8,35.3,15.1
29,30.7,16,21.4,29,60,5.9,47.3,34.9,15.8
30,30.4,17,21.4,29,120,6.1,42.3,34.6,16.6
31,30.4,17,21.4,29,360,6.1,65.4,38.1,16.4
