1,30,19,21.1,33,120,5.3,59.1,34.8,14.6
2,29.9,19,21.1,33,120,5.4,50.1,34.4,15.1
3,29.6,19,21.1,33,60,5.7,43.5,33.9,15.8
4,29.4,20,21.1,33,180,5.9,39.3,33.4,16.5
5,29.2,20,21,33,660,6.1,64.2,38.6,16.3
6,29.5,20,21,33,600,5.9,69.6,40.1,15.6
7,30,20,21,33,540,5.6,70.9,40.2,15.3
8,30.4,19,21.1,33,120,5.3,63.8,37.7,15
9,30.3,19,21.1,33,120,5.4,53.3,37,15.3
10,30.1,19,21.1,33,60,5.6,46.1,36.4,15.9
11,29.8,19,21.1,33,120,5.8,41.4,35.9,16.6
12,29.7,20,21,33,600,6.1,61.9,39.1,16.8
13,29.9,20,21,33,600,6,70.1,40.8,16.1
14,30.3,20,21,33,660,5.7,71.5,40.8,15.8
15,30.8,19,21,34,240,5.3,69.6,39.1,15.5
16,30.9,19,21.1,34,120,5.3,58.6,37.9,15.4
17,30.7,19,21.1,33,120,5.5,49.7,37.3,15.8
18,30.4,19,21.1,33,60,5.7,43.8,36.8,16.6
19,30.1,19,21,33,360,5.9,46.9,37.3,17.2
20,30.2,20,21,33,600,6.1,68.7,40.7,16.6
21,30.5,20,21,34,660,5.8,71.4,41,16.1
22,31,19,21,34,540,5.5,72.3,40.9,15.8
23,31.3,19,21,34,120,5.2,64.8,38.4,15.4
24,31.2,19,21.1,34,60,5.4,54.1,37.7,15.6
25,31,19,21.1,34,120,5.6,46.8,37.1,16.3
26,30.7,19,21,34,120,5.8,41.9,36.6,17.1
27,30.4,19,21,34,600,6.1,63.2,39.6,17.1
28,30.6,20,21,34,600,6,71,41.1,16.4
29,31,19,21,34,600,5.6,72.4,41.1,16
30,31.5,19,21,34,360,5.3,71.1,39.6,15.7
31,31.6,19,21.1,34,60,5.2,59.8,38.1,15.5
